# started_at=2025-12-14T19:04:54+03:00
# cmd: vmstat 1
# app_pid=7559

procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 24494308 205836 2962860    0    0     0   392 19695 34966 11  3 86  1  0
 3  0      0 24494308 205836 2962860    0    0     0  1388 24281 44587 10  4 84  1  0
 4  0      0 24494308 205836 2962860    0    0     0   708 23675 46766 11  5 82  1  0
 2  0      0 24494308 205836 2962860    0    0     0  1036 24810 49043 14  5 80  1  0
 3  0      0 24494308 205836 2962860    0    0     0   480 19107 33812 10  3 86  1  0
 2  0      0 24494308 205836 2962860    0    0     4  5484 20156 34579 10  3 87  1  0
 2  0      0 24494308 205836 2962860    0    0     0  7516 23288 41511 10  4 85  1  0
 3  0      0 24494308 205836 2962860    0    0     0  1800 22560 41387 12  4 83  1  0
 2  0      0 24494308 205836 2962860    0    0     0   748 25418 47814 12  5 83  1  0
 2  0      0 24494308 205836 2962860    0    0     0   508 20877 37416  9  4 86  1  0
10  0      0 24494308 205836 2962860    0    0     0 14308 19752 35217  9  3 88  1  0
 2  0      0 24494308 205836 2962860    0    0     0 10980 20015 34349  9  4 86  1  0
 2  0      0 24494308 205836 2962860    0    0     0  1164 20171 36714 10  4 85  1  0
 6  0      0 24494308 205836 2962860    0    0     0   808 22942 43540 12  3 84  1  0
 3  0      0 24494308 205836 2962860    0    0     0   440 19253 36550 11  3 85  1  0
 3  0      0 24494308 205836 2962860    0    0     0   668 23734 43540 11  4 84  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
