# started_at=2025-12-14T19:04:54+03:00
# cmd: sar -q 1
# app_pid=7559

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

07:04:55 PM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
07:10:28 PM         2      1146      2.35      1.92      0.96         0
07:10:29 PM         3      1144      2.35      1.92      0.96         0
07:10:30 PM         1      1148      2.40      1.94      0.97         0
07:10:31 PM         2      1147      2.40      1.94      0.97         0
07:10:32 PM         2      1146      2.40      1.94      0.97         0
07:10:33 PM         1      1145      2.40      1.94      0.97         0
07:10:34 PM         1      1148      2.40      1.94      0.97         0
07:10:35 PM         1      1149      2.29      1.92      0.98         0
07:10:36 PM         1      1147      2.29      1.92      0.98         1
07:10:37 PM         5      1148      2.29      1.92      0.98         1
07:10:38 PM         1      1144      2.29      1.92      0.98         0
07:10:39 PM         0      1143      2.29      1.92      0.98         0
07:10:40 PM         3      1165      2.34      1.94      0.99         0
07:10:41 PM         1      1163      2.34      1.94      0.99         0
07:10:42 PM         1      1165      2.34      1.94      0.99         0
07:10:43 PM         1      1149      2.34      1.94      0.99         0
07:10:44 PM         1      1148      2.34      1.94      0.99         0
07:10:45 PM         2      1152      2.40      1.96      1.00         0
07:10:46 PM         1      1149      2.40      1.96      1.00         0
07:10:47 PM         2      1153      2.40      1.96      1.00         0
07:10:48 PM         1      1150      2.40      1.96      1.00         0
07:10:49 PM         1      1147      2.40      1.96      1.00         0
07:10:50 PM         1      1149      2.52      1.99      1.01         0
07:10:51 PM         1      1148      2.52      1.99      1.01         0
07:10:52 PM         2      1146      2.52      1.99      1.01         0
07:10:53 PM         4      1157      2.52      1.99      1.01         1
07:10:54 PM         0      1148      2.52      1.99      1.01         0
07:10:55 PM         1      1147      2.56      2.01      1.03         0
07:10:56 PM         0      1146      2.56      2.01      1.03         0
07:10:57 PM         1      1148      2.56      2.01      1.03         0
07:10:58 PM         0      1147      2.56      2.01      1.03         0
07:10:59 PM         0      1144      2.56      2.01      1.03         0
07:11:00 PM         2      1145      2.44      1.99      1.02         0
07:11:01 PM         4      1167      2.44      1.99      1.02         0
07:11:02 PM         3      1163      2.44      1.99      1.02         0
07:11:03 PM         4      1166      2.44      1.99      1.02         1
07:11:04 PM         5      1146      2.44      1.99      1.02         0
07:11:05 PM         2      1146      2.40      1.99      1.03         0
07:11:06 PM         2      1149      2.40      1.99      1.03         0
07:11:07 PM         5      1146      2.40      1.99      1.03         0
07:11:08 PM         1      1145      2.40      1.99      1.03         0
07:11:09 PM         1      1146      2.40      1.99      1.03         0
07:11:10 PM         2      1150      2.29      1.98      1.03         1
07:11:11 PM         1      1145      2.29      1.98      1.03         0
07:11:12 PM         1      1145      2.29      1.98      1.03         0
07:11:13 PM         0      1145      2.29      1.98      1.03         0
07:11:14 PM         1      1148      2.29      1.98      1.03         0
07:11:15 PM         1      1145      2.27      1.98      1.04         0
07:11:16 PM         1      1145      2.27      1.98      1.04         0
07:11:17 PM         1      1146      2.27      1.98      1.04         0
07:11:18 PM         4      1145      2.27      1.98      1.04         1
07:11:19 PM         7      1147      2.27      1.98      1.04         0
07:11:20 PM         0      1143      2.33      2.00      1.05         1
07:11:21 PM         2      1142      2.33      2.00      1.05         0
07:11:22 PM         1      1162      2.33      2.00      1.05         1
07:11:23 PM         2      1162      2.33      2.00      1.05         0
07:11:24 PM         2      1169      2.33      2.00      1.05         0
07:11:25 PM         1      1148      2.22      1.98      1.05         0
07:11:26 PM         4      1147      2.22      1.98      1.05         1
07:11:27 PM         3      1149      2.22      1.98      1.05         0
07:11:28 PM         1      1146      2.22      1.98      1.05         0
07:11:29 PM         1      1147      2.22      1.98      1.05         5
07:11:30 PM         2      1148      3.24      2.20      1.12         0
07:11:31 PM         3      1147      3.24      2.20      1.12         1
07:11:32 PM         3      1129      3.24      2.20      1.12         0
07:11:33 PM         3      1130      3.24      2.20      1.12         0
07:11:34 PM         2      1124      3.24      2.20      1.12         0
07:11:35 PM         3      1128      3.14      2.19      1.13         0
07:11:36 PM         4      1130      3.14      2.19      1.13         0
07:11:37 PM         2      1129      3.14      2.19      1.13         0
07:11:38 PM         2      1127      3.14      2.19      1.13         0
07:11:39 PM         1      1135      3.14      2.19      1.13         4
07:11:40 PM         2      1140      3.37      2.26      1.15         4
07:11:41 PM         1      1142      3.37      2.26      1.15         0
07:11:42 PM         2      1144      3.37      2.26      1.15         0
07:11:43 PM         1      1142      3.37      2.26      1.15         0
07:11:44 PM         4      1164      3.37      2.26      1.15         0
07:11:45 PM         2      1162      3.26      2.25      1.16         0
07:11:46 PM         1      1162      3.26      2.25      1.16         0
07:11:47 PM         2      1146      3.26      2.25      1.16         0
07:11:48 PM         0      1147      3.26      2.25      1.16         0
07:11:49 PM         2      1147      3.26      2.25      1.16         0
07:11:50 PM         4      1147      3.08      2.23      1.16         0
07:11:51 PM         1      1145      3.08      2.23      1.16         1
07:11:52 PM         2      1150      3.08      2.23      1.16         0
07:11:53 PM         3      1148      3.08      2.23      1.16         0
07:11:54 PM         2      1150      3.08      2.23      1.16         0
07:11:55 PM         3      1152      2.91      2.21      1.15         0
07:11:56 PM         1      1145      2.91      2.21      1.15         0
07:11:57 PM         0      1147      2.91      2.21      1.15         0
07:11:58 PM         1      1148      2.91      2.21      1.15         0
07:11:59 PM         2      1144      2.91      2.21      1.15         0
07:12:00 PM         3      1145      2.76      2.19      1.15         1
07:12:01 PM         5      1147      2.76      2.19      1.15         1
07:12:02 PM         1      1145      2.76      2.19      1.15         0
07:12:03 PM         0      1142      2.76      2.19      1.15         0
07:12:04 PM         1      1143      2.76      2.19      1.15         0
07:12:05 PM         4      1165      2.54      2.15      1.15         0
07:12:06 PM         2      1163      2.54      2.15      1.15         0
07:12:07 PM         1      1163      2.54      2.15      1.15         0
07:12:08 PM         4      1162      2.54      2.15      1.15         0
07:12:09 PM         6      1149      2.54      2.15      1.15         1
07:12:10 PM         2      1147      2.50      2.15      1.15         0
07:12:11 PM         1      1148      2.50      2.15      1.15         0
07:12:12 PM         3      1145      2.50      2.15      1.15         0
07:12:13 PM         2      1145      2.50      2.15      1.15         0
07:12:14 PM         2      1148      2.50      2.15      1.15         0
07:12:15 PM         6      1150      2.86      2.23      1.18         0
07:12:16 PM         2      1147      2.86      2.23      1.18         0
07:12:17 PM         6      1157      2.86      2.23      1.18         0
07:12:18 PM         1      1145      2.86      2.23      1.18         0
07:12:19 PM         6      1146      2.86      2.23      1.18         0
07:12:20 PM         3      1149      2.79      2.23      1.19         0
07:12:21 PM         5      1146      2.79      2.23      1.19         0
