# started_at=2025-12-14T01:53:18+03:00
# cmd: sar -q 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
02:00:45 AM         5      1764      7.08      6.86      5.56         0
02:00:46 AM         3      1758      7.08      6.86      5.56         0
02:00:47 AM         5      1765      7.08      6.86      5.56         0
02:00:48 AM         4      1759      7.08      6.86      5.56         0
02:00:49 AM         6      1760      7.72      7.00      5.61         0
02:00:50 AM         5      1762      7.72      7.00      5.61         0
02:00:51 AM         4      1760      7.72      7.00      5.61         0
02:00:52 AM         3      1763      7.72      7.00      5.61         0
02:00:53 AM         6      1761      7.72      7.00      5.61         0
02:00:54 AM         5      1781      7.82      7.03      5.63         0
02:00:55 AM        16      1783      7.82      7.03      5.63         0
02:00:56 AM         6      1784      7.82      7.03      5.63         1
02:00:57 AM         4      1785      7.82      7.03      5.63         0
02:00:58 AM         3      1791      7.82      7.03      5.63         0
02:00:59 AM        13      1797      7.60      7.00      5.62         0
02:01:00 AM        15      1795      7.60      7.00      5.62         0
02:01:01 AM        17      1790      7.60      7.00      5.62         0
02:01:02 AM        19      1791      7.60      7.00      5.62         0
02:01:03 AM        12      1793      7.60      7.00      5.62         0
02:01:04 AM         8      1791      7.23      6.93      5.61         0
02:01:05 AM         8      1790      7.23      6.93      5.61         1
02:01:06 AM         3      1790      7.23      6.93      5.61         1
02:01:07 AM        20      1786      7.23      6.93      5.61         0
02:01:08 AM         6      1788      7.23      6.93      5.61         0
02:01:09 AM         4      1786      7.21      6.93      5.62         0
02:01:10 AM         7      1789      7.21      6.93      5.62         0
02:01:11 AM         3      1769      7.21      6.93      5.62         0
02:01:12 AM         5      1768      7.21      6.93      5.62         0
