# started_at=2025-12-14T01:53:18+03:00
# cmd: pidstat -w -t -p 1101786 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM   UID      TGID       TID   cswch/s nvcswch/s  Command
01:53:54 AM 174209043   1101786         -      2.00      0.00  app_linux_amd64
01:53:54 AM 174209043         -   1101786      2.00      0.00  |__app_linux_amd64
01:53:54 AM 174209043         -   1101788     88.00      0.00  |__app_linux_amd64
01:53:54 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:54 AM 174209043         -   1101791     29.00      0.00  |__app_linux_amd64
01:53:54 AM 174209043         -   1101792     31.00      0.00  |__app_linux_amd64
01:53:55 AM 174209043   1101786         -      3.00      0.00  app_linux_amd64
01:53:55 AM 174209043         -   1101786      3.00      0.00  |__app_linux_amd64
01:53:55 AM 174209043         -   1101788     61.00      0.00  |__app_linux_amd64
01:53:55 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:55 AM 174209043         -   1101791     25.00      4.00  |__app_linux_amd64
01:53:55 AM 174209043         -   1101792     25.00      0.00  |__app_linux_amd64
01:53:56 AM 174209043   1101786         -     20.00      1.00  app_linux_amd64
01:53:56 AM 174209043         -   1101786     20.00      1.00  |__app_linux_amd64
01:53:56 AM 174209043         -   1101788    112.00      0.00  |__app_linux_amd64
01:53:56 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:56 AM 174209043         -   1101791      4.00      0.00  |__app_linux_amd64
01:53:56 AM 174209043         -   1101792     26.00      1.00  |__app_linux_amd64
01:53:57 AM 174209043   1101786         -     21.00      2.00  app_linux_amd64
01:53:57 AM 174209043         -   1101786     21.00      2.00  |__app_linux_amd64
01:53:57 AM 174209043         -   1101788    123.00      0.00  |__app_linux_amd64
01:53:57 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:57 AM 174209043         -   1101791      3.00      0.00  |__app_linux_amd64
01:53:57 AM 174209043         -   1101792     22.00      1.00  |__app_linux_amd64
01:53:58 AM 174209043   1101786         -     28.00      0.00  app_linux_amd64
01:53:58 AM 174209043         -   1101786     28.00      0.00  |__app_linux_amd64
01:53:58 AM 174209043         -   1101788    105.00      0.00  |__app_linux_amd64
01:53:58 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:58 AM 174209043         -   1101791      4.00      0.00  |__app_linux_amd64
01:53:58 AM 174209043         -   1101792     27.00      1.00  |__app_linux_amd64
01:53:59 AM 174209043   1101786         -     25.00      7.00  app_linux_amd64
01:53:59 AM 174209043         -   1101786     25.00      7.00  |__app_linux_amd64
01:53:59 AM 174209043         -   1101788    110.00      0.00  |__app_linux_amd64
01:53:59 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:59 AM 174209043         -   1101791     16.00      0.00  |__app_linux_amd64
01:53:59 AM 174209043         -   1101792      5.00      0.00  |__app_linux_amd64
01:54:00 AM 174209043   1101786         -     23.00      2.00  app_linux_amd64
01:54:00 AM 174209043         -   1101786     23.00      2.00  |__app_linux_amd64
01:54:00 AM 174209043         -   1101788    112.00      0.00  |__app_linux_amd64
01:54:00 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:54:00 AM 174209043         -   1101791      6.00      0.00  |__app_linux_amd64
01:54:00 AM 174209043         -   1101792     26.00      2.00  |__app_linux_amd64
01:54:01 AM 174209043   1101786         -     30.00      0.00  app_linux_amd64
01:54:01 AM 174209043         -   1101786     30.00      0.00  |__app_linux_amd64
01:54:01 AM 174209043         -   1101788    117.00      0.00  |__app_linux_amd64
01:54:01 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:54:01 AM 174209043         -   1101791      2.00      0.00  |__app_linux_amd64
01:54:01 AM 174209043         -   1101792     27.00      2.00  |__app_linux_amd64
01:54:02 AM 174209043   1101786         -     23.00      3.00  app_linux_amd64
01:54:02 AM 174209043         -   1101786     23.00      3.00  |__app_linux_amd64
01:54:02 AM 174209043         -   1101788     80.00      0.00  |__app_linux_amd64
01:54:02 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:54:02 AM 174209043         -   1101791      1.00      0.00  |__app_linux_amd64
01:54:02 AM 174209043         -   1101792     19.00      4.00  |__app_linux_amd64
01:54:03 AM 174209043   1101786         -     20.00      0.00  app_linux_amd64
01:54:03 AM 174209043         -   1101786     20.00      0.00  |__app_linux_amd64
01:54:03 AM 174209043         -   1101788     96.00      0.00  |__app_linux_amd64
01:54:03 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:54:03 AM 174209043         -   1101791      5.00      0.00  |__app_linux_amd64
01:54:03 AM 174209043         -   1101792     27.00      2.00  |__app_linux_amd64
01:54:04 AM 174209043   1101786         -     21.00      0.00  app_linux_amd64
01:54:04 AM 174209043         -   1101786     21.00      0.00  |__app_linux_amd64
01:54:04 AM 174209043         -   1101788     82.00      0.00  |__app_linux_amd64
01:54:04 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:54:04 AM 174209043         -   1101791      1.00      0.00  |__app_linux_amd64
01:54:04 AM 174209043         -   1101792     23.00      2.00  |__app_linux_amd64
01:54:05 AM 174209043   1101786         -     22.00      2.00  app_linux_amd64
01:54:05 AM 174209043         -   1101786     22.00      2.00  |__app_linux_amd64
01:54:05 AM 174209043         -   1101788     36.00      0.00  |__app_linux_amd64
01:54:05 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:54:05 AM 174209043         -   1101791      2.00      0.00  |__app_linux_amd64
01:54:05 AM 174209043         -   1101792     26.00      2.00  |__app_linux_amd64
01:54:06 AM 174209043   1101786         -     25.00      1.00  app_linux_amd64
01:54:06 AM 174209043         -   1101786     25.00      1.00  |__app_linux_amd64
01:54:06 AM 174209043         -   1101788     93.00      0.00  |__app_linux_amd64
01:54:06 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:54:06 AM 174209043         -   1101791      2.00      0.00  |__app_linux_amd64
01:54:06 AM 174209043         -   1101792     19.00      1.00  |__app_linux_amd64
01:54:07 AM 174209043   1101786         -     29.00      0.00  app_linux_amd64
01:54:07 AM 174209043         -   1101786     29.00      0.00  |__app_linux_amd64
01:54:07 AM 174209043         -   1101788     50.00      0.00  |__app_linux_amd64
01:54:07 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:54:07 AM 174209043         -   1101791      2.00      0.00  |__app_linux_amd64
01:54:07 AM 174209043         -   1101792     29.00      0.00  |__app_linux_amd64
01:54:08 AM 174209043   1101786         -     23.00      0.00  app_linux_amd64
01:54:08 AM 174209043         -   1101786     23.00      0.00  |__app_linux_amd64
01:54:08 AM 174209043         -   1101788     58.00      0.00  |__app_linux_amd64
01:54:08 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:54:08 AM 174209043         -   1101791      1.00      0.00  |__app_linux_amd64
01:54:08 AM 174209043         -   1101792     24.00      0.00  |__app_linux_amd64
01:54:09 AM 174209043   1101786         -     27.00      2.00  app_linux_amd64
01:54:09 AM 174209043         -   1101786     27.00      2.00  |__app_linux_amd64
01:54:09 AM 174209043         -   1101788    115.00      0.00  |__app_linux_amd64
01:54:09 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:54:09 AM 174209043         -   1101791      3.00      0.00  |__app_linux_amd64
01:54:09 AM 174209043         -   1101792     25.00      1.00  |__app_linux_amd64
01:54:10 AM 174209043   1101786         -     21.00      1.00  app_linux_amd64
01:54:10 AM 174209043         -   1101786     21.00      1.00  |__app_linux_amd64
01:54:10 AM 174209043         -   1101788    118.00      0.00  |__app_linux_amd64
01:54:10 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:54:10 AM 174209043         -   1101791      2.00      0.00  |__app_linux_amd64
01:54:10 AM 174209043         -   1101792     22.00      3.00  |__app_linux_amd64
01:54:11 AM 174209043   1101786         -     23.00      1.00  app_linux_amd64
01:54:11 AM 174209043         -   1101786     23.00      1.00  |__app_linux_amd64
01:54:11 AM 174209043         -   1101788     85.00      0.00  |__app_linux_amd64
01:54:11 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:54:11 AM 174209043         -   1101791      3.00      0.00  |__app_linux_amd64
01:54:11 AM 174209043         -   1101792     21.00      1.00  |__app_linux_amd64
01:54:12 AM 174209043   1101786         -     33.00      3.00  app_linux_amd64
01:54:12 AM 174209043         -   1101786     33.00      3.00  |__app_linux_amd64
01:54:12 AM 174209043         -   1101788     65.00      0.00  |__app_linux_amd64
01:54:12 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
